buffer	gamma	count	mean_all_miou	mean_old_0_15_miou	mean_new_16_20_miou
8224	1	4	0.6983803680	0.7842874987	0.4234775495
8208	1	4	0.6979203559	0.7846317668	0.4204438410
8204	1	1	0.6964933200	0.7845321964	0.4147689155
8220	1	1	0.6963699954	0.7838041346	0.4165807499
8200	1	1	0.6961584658	0.7844169408	0.4137313459
8196	1	1	0.6959826530	0.7828545944	0.4179924404
8212	1	1	0.6956944355	0.7836051324	0.4143802054
8192	1	1	0.6951560462	0.7838599953	0.4113034088
8216	1	1	0.6944156129	0.7834823319	0.4094021122
