name	subpath	task	setting	strategy	confidence	quantile	min_conf	max_conf	min_pixels	shrinkage	margin_min	base_subpath	skip_step0	batch_size	step0_batch_size	buffer	gamma	random_seed	model	air_feature_source	threshold_artifact	threshold_max_batches
artifact_q0p01	20260705_pseudo_15-5_overlap_artifact_q0p01_seed1_bs32_reuse20260627step0	15-5	overlap	artifact_class	0.7	0.01	0.0	1.0	1	0.0	0.0	20260627_pseudo_15-5_overlap_batchclass_q0p7_seed1_bs32	1	32	32	8196	1	1	deeplabv3_resnet101	auto	artifacts/pseudo_label/phaseB_15-5_overlap_q0p01.json	0
artifact_q0p03	20260705_pseudo_15-5_overlap_artifact_q0p03_seed1_bs32_reuse20260627step0	15-5	overlap	artifact_class	0.7	0.03	0.0	1.0	1	0.0	0.0	20260627_pseudo_15-5_overlap_batchclass_q0p7_seed1_bs32	1	32	32	8196	1	1	deeplabv3_resnet101	auto	artifacts/pseudo_label/phaseB_15-5_overlap_q0p03.json	0
artifact_q0p07	20260705_pseudo_15-5_overlap_artifact_q0p07_seed1_bs32_reuse20260627step0	15-5	overlap	artifact_class	0.7	0.07	0.0	1.0	1	0.0	0.0	20260627_pseudo_15-5_overlap_batchclass_q0p7_seed1_bs32	1	32	32	8196	1	1	deeplabv3_resnet101	auto	artifacts/pseudo_label/phaseB_15-5_overlap_q0p07.json	0
artifact_q0p05_minconf0p6	20260705_pseudo_15-5_overlap_artifact_q0p05_minconf0p6_seed1_bs32_reuse20260627step0	15-5	overlap	artifact_class	0.7	0.05	0.6	1.0	1	0.0	0.0	20260627_pseudo_15-5_overlap_batchclass_q0p7_seed1_bs32	1	32	32	8196	1	1	deeplabv3_resnet101	auto	artifacts/pseudo_label/phaseB_15-5_overlap_q0p05_minconf0p6.json	0
