buffer	rhl_seed	all_miou	old_0_15_miou	new_16_20_miou	subpath	result_json
8224	2	0.6998140777177585	0.7841856596538985	0.42982501552211066	20260711_buffer_final_confirmation_trs_b8224_g1_rhl2_trs	checkpoints/20260711_buffer_final_confirmation_trs_b8224_g1_rhl2_trs/voc/15-5/sequential/step1/test_results_20260711_180335.json
8232	4	0.6988931698684014	0.7855823167407487	0.42148789987689017	20260711_buffer_final_confirmation_trs_b8232_g1_rhl4_trs	checkpoints/20260711_buffer_final_confirmation_trs_b8232_g1_rhl4_trs/voc/15-5/sequential/step1/test_results_20260711_211111.json
8232	5	0.6967406855356215	0.783911715103775	0.4177933909175303	20260711_buffer_final_confirmation_trs_b8232_g1_rhl5_trs	checkpoints/20260711_buffer_final_confirmation_trs_b8232_g1_rhl5_trs/voc/15-5/sequential/step1/test_results_20260712_001849.json
