phase	buffer	gamma	rhl_norm	rhl_seed	all_miou	old_0_15_miou	new_16_20_miou	subpath	result_json	base_checkpoint_sha256
right	8228	1	none	2	0.6976653939592714	0.7845725321189199	0.41956255184839597	20260709_buffer_right_seed_search_trs_right_b8228_g1_rhl2_trs	checkpoints/20260709_buffer_right_seed_search_trs_right_b8228_g1_rhl2_trs/voc/15-5/sequential/step1/test_results_20260709_230729.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
right	8232	1	none	2	0.6990401962996723	0.7848766729655213	0.424363470968955	20260709_buffer_right_seed_search_trs_right_b8232_g1_rhl2_trs	checkpoints/20260709_buffer_right_seed_search_trs_right_b8232_g1_rhl2_trs/voc/15-5/sequential/step1/test_results_20260710_021515.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
right	8236	1	none	2	0.6977723743749901	0.7825791884390593	0.4263905693699687	20260709_buffer_right_seed_search_trs_right_b8236_g1_rhl2_trs	checkpoints/20260709_buffer_right_seed_search_trs_right_b8236_g1_rhl2_trs/voc/15-5/sequential/step1/test_results_20260710_052309.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
right	8240	1	none	2	0.6984669166196087	0.7831699865770998	0.4274170927556373	20260709_buffer_right_seed_search_trs_right_b8240_g1_rhl2_trs	checkpoints/20260709_buffer_right_seed_search_trs_right_b8240_g1_rhl2_trs/voc/15-5/sequential/step1/test_results_20260710_083047.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
stability	8208	1	none	4	0.6997085216992724	0.7854280270419837	0.4254061046025959	20260709_buffer_right_seed_search_trs_stability_b8208_g1_rhl4_trs	checkpoints/20260709_buffer_right_seed_search_trs_stability_b8208_g1_rhl4_trs/voc/15-5/sequential/step1/test_results_20260710_113804.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
stability	8208	1	none	5	0.6964606467463	0.783687226731071	0.4173355907950329	20260709_buffer_right_seed_search_trs_stability_b8208_g1_rhl5_trs	checkpoints/20260709_buffer_right_seed_search_trs_stability_b8208_g1_rhl5_trs/voc/15-5/sequential/step1/test_results_20260710_144513.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
stability	8224	1	none	4	0.7001569716850046	0.7849546265866241	0.4288044759998221	20260709_buffer_right_seed_search_trs_stability_b8224_g1_rhl4_trs	checkpoints/20260709_buffer_right_seed_search_trs_stability_b8224_g1_rhl4_trs/voc/15-5/sequential/step1/test_results_20260710_175229.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
stability	8224	1	none	5	0.6970710883065977	0.7832219284282224	0.42138839991739835	20260709_buffer_right_seed_search_trs_stability_b8224_g1_rhl5_trs	checkpoints/20260709_buffer_right_seed_search_trs_stability_b8224_g1_rhl5_trs/voc/15-5/sequential/step1/test_results_20260710_205945.json	fb48c926cde03a35c1daf7ec6b9fe95340e932ddf5c4c2226a9c432f87fa244e
